Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;3P;3PA;2P;2PA;eFG%;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Salary_23-24
98;Gary Harris;SG;27;ORL;61;30;28.4;3.9;9.1;1.9;5.0;2.0;4.1;.539;1.4;1.6;0.6;1.4;2.0;1.8;1.0;0.1;1.0;1.8;11.1;13000000
99;Joe Harris;SF;30;BRK;14;14;30.2;4.0;8.9;2.9;6.3;1.1;2.6;.617;0.4;0.4;0.4;3.6;4.0;1.0;0.5;0.1;1.1;2.2;11.3;19928571
100;Tobias Harris;PF;29;PHI;73;73;34.8;6.8;14.0;1.4;3.8;5.4;10.2;.532;2.3;2.8;1.1;5.7;6.8;3.5;0.6;0.6;1.6;2.2;17.2;39270150
101;Josh Hart;SG;26;TOT;54;53;33.2;5.3;10.5;1.4;3.9;4.0;6.6;.569;3.0;3.9;1.1;6.0;7.2;4.1;1.1;0.2;2.1;2.8;14.9;12960000
102;Isaiah Hartenstein;C;23;LAC;68;0;17.9;3.4;5.4;0.2;0.4;3.2;4.9;.645;1.3;1.9;1.7;3.2;4.9;2.4;0.7;1.1;1.2;2.5;8.3;8195121
103;Sam Hauser;SF;24;BOS;26;0;6.1;0.9;1.9;0.7;1.7;0.2;0.2;.650;0.0;0.0;0.2;0.9;1.1;0.4;0.0;0.1;0.1;0.3;2.5;1927896
104;Killian Hayes;PG;20;DET;66;40;25.0;2.7;7.0;0.7;2.5;2.0;4.4;.431;0.9;1.1;0.5;2.6;3.2;4.2;1.2;0.5;1.7;2.8;6.9;7413955
105;Gordon Hayward;SF;31;CHO;49;48;31.9;5.8;12.6;1.8;4.5;4.0;8.1;.528;2.6;3.0;0.8;3.8;4.6;3.6;1.0;0.4;1.7;1.7;15.9;31500000
106;Willy Hernangómez;C;27;NOP;50;8;16.8;3.4;6.5;0.1;0.2;3.3;6.3;.526;2.2;2.8;2.9;3.9;6.8;1.3;0.4;0.4;1.0;1.9;9.1;2559942
107;Tyler Herro;SG;22;MIA;66;10;32.6;7.6;17.0;2.7;6.7;4.9;10.3;.525;2.9;3.3;0.5;4.5;5.0;4.0;0.7;0.1;2.6;1.4;20.7;27000000
108;Buddy Hield;SG;29;TOT;81;32;30.9;5.5;13.6;3.2;8.8;2.3;4.7;.526;1.4;1.6;0.8;3.5;4.4;2.8;0.9;0.3;1.9;2.3;15.6;19279841
109;Haywood Highsmith;SF;25;MIA;19;1;8.6;0.8;2.4;0.5;1.5;0.4;0.9;.446;0.1;0.3;0.5;0.8;1.4;0.3;0.1;0.2;0.2;0.7;2.3;1902137
110;Jrue Holiday;PG;31;MIL;67;64;33.0;7.1;14.2;2.0;4.8;5.2;9.4;.570;2.0;2.7;1.0;3.5;4.5;6.8;1.6;0.4;2.7;2.0;18.3;36158747
111;Richaun Holmes;C;28;SAC;45;37;23.9;4.4;6.7;0.0;0.1;4.4;6.6;.663;1.6;2.0;2.1;5.0;7.0;1.1;0.4;0.9;1.2;2.8;10.4;12046020
112;Al Horford;C;35;BOS;69;69;29.1;3.9;8.2;1.3;3.8;2.6;4.4;.546;1.2;1.4;1.6;6.1;7.7;3.4;0.7;1.3;0.9;1.9;10.2;10000000
113;Talen Horton-Tucker;SG;21;LAL;60;19;25.2;3.7;9.0;0.8;3.0;2.9;5.9;.462;1.7;2.1;0.6;2.6;3.2;2.7;1.0;0.5;1.4;2.5;10.0;11020000
114;Danuel House Jr.;SF;28;TOT;42;7;17.3;1.9;4.7;1.0;2.8;0.9;1.9;.515;1.0;1.4;0.4;2.2;2.6;1.0;0.5;0.4;0.8;1.2;5.9;4310250
115;Kevin Huerter;SF;23;ATL;74;60;29.6;4.7;10.3;2.2;5.6;2.5;4.7;.559;0.6;0.7;0.4;3.0;3.4;2.7;0.7;0.4;1.2;2.5;12.1;15669643
116;De'Andre Hunter;SF;24;ATL;53;52;29.8;4.8;10.8;1.4;3.7;3.4;7.2;.506;2.4;3.1;0.5;2.8;3.3;1.3;0.7;0.4;1.3;2.9;13.4;20089286
117;Bones Hyland;SG;21;DEN;69;4;19.0;3.3;8.3;1.9;5.2;1.4;3.1;.518;1.6;1.8;0.2;2.5;2.7;2.8;0.6;0.3;1.2;2.2;10.1;2306400
118;Brandon Ingram;SF;24;NOP;55;55;34.0;8.2;17.9;1.3;4.1;6.9;13.8;.498;4.8;5.9;0.6;5.2;5.8;5.6;0.6;0.5;2.7;2.2;22.7;33833400
119;Isaiah Jackson;C;20;IND;36;15;15.0;3.2;5.7;0.1;0.4;3.1;5.3;.575;1.7;2.4;1.7;2.5;4.1;0.3;0.7;1.4;1.1;2.6;8.3;2696280
120;Jaren Jackson Jr.;PF;22;MEM;78;78;27.3;5.5;13.3;1.6;5.1;3.9;8.1;.477;3.6;4.4;1.5;4.3;5.8;1.1;0.9;2.3;1.7;3.5;16.3;27102202
121;LeBron James;C;37;LAL;56;56;37.2;11.4;21.8;2.9;8.0;8.6;13.8;.590;4.5;6.0;1.1;7.1;8.2;6.2;1.3;1.1;3.5;2.2;30.3;53369986
122;Isaiah Joe;SG;22;PHI;55;1;11.1;1.1;3.2;0.8;2.5;0.3;0.8;.477;0.5;0.6;0.1;0.9;1.0;0.6;0.3;0.1;0.3;0.9;3.6;1997238
123;Jalen Johnson;PF;20;ATL;22;0;5.5;1.0;1.9;0.1;0.6;0.9;1.3;.573;0.2;0.3;0.1;1.1;1.2;0.1;0.1;0.1;0.4;0.4;2.4;2925360
124;Keldon Johnson;SF;22;SAS;75;74;31.9;6.3;13.5;2.1;5.3;4.2;8.2;.545;2.4;3.1;1.1;5.0;6.1;2.1;0.8;0.2;1.2;2.0;17.0;20000000
125;Keon Johnson;SG;19;TOT;37;12;18.8;2.6;7.4;0.9;2.7;1.7;4.6;.415;1.1;1.4;0.6;1.5;2.2;2.1;0.8;0.3;1.2;1.9;7.2;2808720
126;Nikola Jokić;C;26;DEN;74;74;33.5;10.3;17.7;1.3;3.9;9.0;13.8;.620;5.1;6.3;2.8;11.0;13.8;7.9;1.5;0.9;3.8;2.6;27.1;46900000
127;Carlik Jones;PG;24;TOT;5;0;4.6;0.2;1.8;0.0;0.2;0.2;1.6;.111;0.4;0.4;0.2;0.4;0.6;1.0;0.2;0.0;0.6;0.0;0.8;1927896
128;Damian Jones;C;26;SAC;56;15;18.2;3.1;4.8;0.2;0.5;2.9;4.2;.677;1.7;2.3;1.3;3.1;4.4;1.2;0.5;0.8;1.1;2.3;8.1;2586665
129;Derrick Jones Jr.;PF;24;CHI;51;8;17.6;2.1;3.8;0.4;1.2;1.7;2.6;.590;1.1;1.4;1.2;2.1;3.3;0.6;0.5;0.6;0.6;2.1;5.6;3360000
